Date,Toyota,Ford,GM
1/3/94,0.01342753,0.0005857,0.0230653
1/10/94,0.00491223,0.02391216,0.02471091
1/17/94,-0.0033169,-0.0050144,-0.0026608
1/24/94,0.0192548,-0.0119304,-0.0118745
1/31/94,0.01080492,0.01749831,0.01717984
2/7/94,-0.0029821,-0.0157738,-0.0022027
2/14/94,0.01207196,-0.0069396,-0.0098268
2/22/94,0.01762822,-0.0208979,-0.0111344
2/28/94,0.0099207,0.02495949,0.02710074
3/7/94,0.00567391,0.00287804,0.00619711
3/14/94,-0.0028277,-0.0278375,-0.0212609
3/21/94,-0.0112453,-0.0086491,-0.0223555
3/28/94,0.00139015,-0.0107395,-0.023569
4/4/94,0,-0.0032099,0.03016362
4/11/94,0.01120983,-0.0006448,0.00557391
4/18/94,-0.0013547,-0.0198041,-0.0217666
4/25/94,0,0.02429794,0.00864774
5/2/94,-0.0069628,-0.0032051,-0.0140185
5/9/94,-0.0028924,0,-0.0101061
5/16/94,0.00985516,0.01330547,0.01499136
5/23/94,0.0177633,-0.0133055,-0.0088334
5/31/94,0.00141849,-0.0084458,-0.0183972
6/6/94,0.00399408,0.00196366,-0.0052033
6/13/94,0.0168579,0.02041113,0.02061561
6/20/94,0.01644457,-0.0158635,-0.02712
6/27/94,-0.0024981,0.00958746,0
7/5/94,0.00498199,0.01613279,0.00650443
7/11/94,0.004819,0.01378828,0.00416759
7/18/94,-0.0084958,-0.0065398,-0.0138719
7/25/94,-0.0137918,0.0129826,0.00970432
8/1/94,-0.0012349,-0.0294652,-0.0097043
8/8/94,0.00757834,-0.0018706,0.00071313
8/15/94,0.00374015,0.00187062,-0.0088176
8/22/94,-0.0050679,0.01045062,0.02266707
8/29/94,0,-0.0123212,-0.0138495
9/6/94,-0.0037842,-0.0056607,0.00213238
9/12/94,-0.0234252,-0.0096016,0.00106228
9/19/94,0.01187052,-0.0315379,-0.0345853
9/26/94,-0.0065935,0.0183964,0.0022918
10/3/94,0.00267259,-0.0080801,-0.0287404
10/10/94,0.00586816,0.03271836,0.03328806
10/17/94,0.01527149,-0.0076306,-0.0601515
10/24/94,-0.0031005,0.01512935,-0.0091894
10/31/94,0.00122071,-0.0112973,-0.0123356
11/7/94,0,-0.0057608,-0.0018238
11/14/94,-0.0037842,-0.0097745,-0.0129857
11/21/94,-0.0089222,-0.0053044,0.00444954
11/28/94,0.00125338,-0.0040213,0.00555608
12/5/94,-0.0078067,-0.0206846,-0.015692
12/12/94,0.00127241,0.00630947,0.00733104
12/19/94,0.00034637,0.01031627,0.03684955
12/27/94,0.00652915,0.01338456,0.00916582
1/3/95,-0.0038828,0.00783711,0.01144864
1/9/95,0.00125999,0.00386615,-0.0087152
1/16/95,-0.0172667,-0.0354041,-0.0306075
1/23/95,-0.0166194,-0.012712,-0.0226198
1/30/95,-0.0100072,0.00640249,0.01991251
2/6/95,-0.0029203,0.00211336,0.00895946
2/13/95,-0.005771,0.00627907,0.01202503
2/21/95,-0.0135052,0.00823332,0.01567103
2/27/95,0.0060834,-0.0187494,-0.0276961
3/6/95,0,0.01670569,0.01865888
3/13/95,0.00883958,-0.014582,-0.005127
3/20/95,0.00179779,-0.0042578,0.01561771
3/27/95,0.03114911,0.02291774,0.01367166
4/3/95,0.00403666,0.00202469,-0.0036309
4/10/95,0.01338187,0.00402127,0.00242398
4/17/95,0.00125866,-0.0040213,-0.002424
4/24/95,-0.010524,0.00668159,0.01454091
5/1/95,0.00662171,-0.0100613,-0.0229264
5/8/95,-0.0400689,0.03203925,0.04020832
5/15/95,0.00863736,0.00188687,-0.0022649
5/22/95,0.0111348,-0.003782,-0.0070588
5/30/95,0.00825657,0.02401389,0.01623367
6/5/95,-0.0180301,-0.005425,-0.0091749
6/12/95,0.00135698,-0.0018235,-0.0024671
6/19/95,0.01118626,0.01437796,0.01164197
6/26/95,0.00275212,-0.0107386,-0.0046569
7/3/95,0.01604128,0.03703287,0.0366165
7/10/95,0.01679895,-0.0055823,0.00120327
7/17/95,-0.0063499,-0.0443241,-0.0107754
7/24/95,-0.0064442,0.00556399,-0.0044217
7/31/95,-0.0132999,-0.0030823,-0.010071
8/7/95,-0.0108208,-0.011281,-0.0101239
8/14/95,0.009527,0.00379299,0.00148731
8/21/95,-0.0054525,0.00748802,-0.0093804
8/28/95,-0.0040745,0.03618743,0.02308165
9/5/95,-0.0183212,0.01068222,0.00660333
9/11/95,-0.0073461,0,-0.0156893
9/18/95,-0.0117822,-0.0141109,-0.0023938
9/25/95,0.0264756,0.00171771,-0.0033365
10/2/95,0.00564345,-0.0157096,-0.0116925
10/9/95,-0.0113612,0.02475775,0.00588561
10/16/95,0.00286829,-0.0247577,-0.0120459
10/23/95,-0.0131232,-0.0035696,-0.0096056
10/30/95,0.00140693,-0.012115,-0.0011909
11/6/95,0.02300365,-0.0018468,0.01695689
11/13/95,-0.0070817,0.00184676,0.01465954
11/20/95,0.00985831,0.00609974,0.02460792
11/27/95,0.00963948,-0.0018209,-0.0021006
12/4/95,0.0053805,-0.0042788,-0.00123
12/11/95,0.00931529,-0.005564,0.01094699
12/18/95,0.00385136,0.02065566,0.01268227
12/26/95,0.00515689,-0.0108129,0.00727146
1/2/96,0.01522075,0,-0.0209845
1/8/96,-0.0152208,-0.0173741,-0.0099162
1/15/96,0.0076223,0,-0.0166815
1/22/96,-0.0037392,0.02281418,0.03308499
1/29/96,0.00625053,0.01418231,0.00722581
2/5/96,0,0.00577528,0
2/12/96,0.01000896,0.00513289,-0.0082437
2/20/96,-0.0125203,-0.0034152,0.0022024
2/26/96,-0.0025259,0.01571263,0.01462185
3/4/96,-0.0128548,-0.0033195,-0.0146219
3/11/96,0.00909374,0.01688379,0.01150627
3/18/96,0.01388549,0.01470545,0.0092805
3/25/96,0.00873519,0.00970246,-0.0011291
4/1/96,-0.0048786,0.01097013,0.01896094
4/8/96,-0.004934,-0.0124878,0
4/15/96,0.00610561,0.01689688,0.00675003
4/22/96,0.00612585,-0.0044091,-0.0125085
4/29/96,0.00365526,0.01021917,-0.0020415
5/6/96,-0.0023986,-0.0043502,-0.0140778
5/13/96,-0.006108,0.02225211,0.02908432
5/20/96,0.00485132,-0.0131188,-0.0068974
5/28/96,0.00964562,0.00426014,-0.000928
6/3/96,0,-0.0182787,0.00200812
6/10/96,0.02307061,-0.0074325,0.00291835
6/17/96,0.0099997,-0.0050266,-0.0067884
6/24/96,0.00660321,-0.0212399,-0.0203737
7/1/96,-0.0143715,-0.0134801,-0.0189868
7/8/96,-0.0124668,-0.0088522,-0.016659
7/15/96,-0.0010968,0.02073659,-0.0010627
7/22/96,-0.0011997,-0.0016016,-0.0033825
7/29/96,0.02584577,0.02796186,0.02432685
8/5/96,-0.0121482,-0.0015071,0.0116708
8/12/96,0.00106575,-0.0065919,0.00636879
8/19/96,0.01221295,0.00659187,-0.00934
8/26/96,-0.0155156,-0.00303,-0.0129449
9/3/96,0.0044623,-0.0218232,-0.0168764
9/9/96,0.00774778,0.0015957,0.01344997
9/16/96,0.01086027,0,-0.0010332
9/23/96,0.00760734,-0.0189915,-0.0168748
9/30/96,-0.016104,0.0136496,0.01687475
10/7/96,-0.0110776,0.00534194,0.00870496
10/14/96,0.01427164,-0.0031973,0.02527398
10/21/96,-0.0199182,-0.0070093,0.00711585
10/28/96,0.00448434,-0.0049197,0
11/4/96,0.02304189,0.01565681,0.01191194
11/11/96,0.0073866,-0.0037279,0.00304129
11/18/96,0.01545505,0.0105673,0.01548026
11/25/96,0.00804032,0.00827253,0.00087648
12/2/96,0.0117464,-0.0051518,-0.0085476
12/9/96,-0.0078238,-0.0052137,0
12/16/96,0.0097372,-0.0015764,-0.0116141
12/23/96,0.00667208,0.00366938,0.00486439
12/30/96,-0.0009001,0.00467267,0.01719029
1/6/97,-0.0315928,0.0132231,0.02374867
1/13/97,0.01608362,-0.0065612,-0.0070731
1/20/97,-0.0069311,0.00856028,0.01673208
